Title,Category,Prompt,When to use,Source,Status,Contributed by,Date added
Explain this so I can decide,1. Researching topics or answering questions,"Explain [topic] to me like I have 10 minutes and need to make a decision, not become an expert. Include the 2-3 things most people get wrong about it.","You need a fast, decision-ready grip on an unfamiliar topic.",Curated,Approved,AI Strategy & Governance team,2026-07-17
Get meeting-ready on a topic,1. Researching topics or answering questions,"I need to get up to speed on [topic/competitor/trend] for a meeting. Give me the need-to-know facts, the current debate or open question in the space, and 3 smart questions I could ask.",Walking into a meeting on something you don't know cold.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Compare two options,1. Researching topics or answering questions,"I'm deciding between [option A] and [option B] for [purpose]. Lay out the tradeoffs in a simple table: cost, effort, risk, and who each option is better for. Don't just pick one - help me see the decision clearly.",Weighing a choice and want the tradeoffs laid out cleanly.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Stress-test a claim before I repeat it,1. Researching topics or answering questions,"I've heard that [claim/assumption]. Before I repeat this to my team, stress-test it: what would have to be true for this to be right, and what's the most likely way it's wrong or oversimplified?",Before you pass along something you're not fully sure of.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Draft an email,"2. Drafting emails, messages, or communications","Draft an email to [audience] about [topic]. The goal is [what you want them to do or know]. Tone: [professional / friendly / urgent]. Keep it under [150] words. Context: [paste background, prior thread, key facts].",Any routine email you'd rather not start from a blank page.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Say no gracefully,"2. Drafting emails, messages, or communications","I need to say no to [request] without damaging the relationship. Draft a short, respectful reply that explains why, offers an alternative if there is one, and ends on a positive note.",Turning down a request while keeping the relationship intact.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Deliver difficult news,"2. Drafting emails, messages, or communications",I need to deliver difficult news to [audience] about [situation]. Help me draft this so it's honest and clear but doesn't create panic or bury the real message. Tone: calm and direct.,Sensitive messages where wording really matters.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Turn notes into a follow-up email,"2. Drafting emails, messages, or communications",Turn these raw meeting notes into a follow-up email with next steps and owners: [paste notes]. Keep it skimmable - bold the deadlines.,"Right after a meeting, to send actions before they're forgotten.",Curated,Approved,AI Strategy & Governance team,2026-07-17
Generate a range of approaches,3. Brainstorming ideas or solving problems,"I'm trying to solve this problem: [describe it]. Give me 8 different approaches, ranging from safe/incremental to bold/unconventional. For each, note one risk and one reason it might work.",Opening up options when you're anchored on one idea.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Devil's advocate on my plan,3. Brainstorming ideas or solving problems,Play devil's advocate on this plan: [describe your plan]. What's the strongest argument against it? What would have to be true for it to fail?,Pressure-testing a plan before you commit to it.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Narrow a list of ideas,3. Brainstorming ideas or solving problems,"Here are the ideas I'm considering: [list them]. Help me narrow to the top 3 using these criteria: [e.g., cost, speed, member impact]. Show your reasoning, not just a ranking.",Too many options and you need to get to a shortlist.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Get unstuck with questions,3. Brainstorming ideas or solving problems,I'm stuck on [problem] and keep going in circles. Ask me 5 questions that might reveal what I'm missing - don't give me the answer yet.,When you're spinning and can't see what you're missing.,Curated,Approved,AI Strategy & Governance team,2026-07-17
Skeptical reviewer pass,4. Reviewing and improving work products,"Review this [email/deck/document] as if you were a skeptical [manager/customer/reviewer]. What's unclear, what's missing, and where would someone push back? Don't rewrite it yet - just tell me what's weak.",Before sending something important up or out.,Curated,Approved,AI Strategy & Governance team,2026-07-17
